,Faculty of Engineering and Technology,,,,,,
,School of Computer Science and Engineering,,,,,,
,Department of Computer Science and Applications,,,,,,
,,3.30-5.30,"FYMCA - D (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA - D (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA - D (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA - D (3:30-4:30)
SYMCA (ELECTIVE)",SYMCA (ELECTIVE)
13,VY325(Class),8.30-10.30,FYDSBDA,FYDSBDA,FYDSBDA,FYDSBDA,FYDSBDA
,,10.30-11.30,FYDSBDA,FYMCA - A,SYMCA (ELECTIVE),FYDSBDA,FYDSBDA
,,11.30-3.30,FYMCA - E,FYMCA - E,FYMCA - E,FYMCA - E,FYMCA - E
,,3.30-5.30,"FYMCA -E (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA -E (3:30-4:30)
SYMCA (ELECTIVE)","FYMCA -E (3:30-4:30)
SYMCA (ELECTIVE)",SYMCA (ELECTIVE),"FYMCA -E (3:30-4:30)
SYMCA (ELECTIVE)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Time Table 
Committee","Dr Anuradha Kanade
Program Director
DOCSA
MIT-WPU",,"Dr.Sharmishtha Desai
Associate Dean
Academics
SOCSE
MIT-WPU","Prof.Dr Shubhlaxmi Joshi
Associate Dean
Faculty Affairs
SOCSE
MIT-WPU",,"Prof.Dr.Siddharth Chakarbarti
Dean
FOET
MIT-WPU",
